h,k,l,|G|,2theta,d,I
3,5,3,6.437750216973081,104.22985110733639,0.15160433648939614,0.0015635243916590064
3,5,4,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
3,5,5,7.540947203955154,135.18372448287252,0.1104912960854921,0.0016951446242601212
3,6,-4,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
3,6,-3,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
3,6,-2,6.872233929727672,114.81228588619445,0.13304054018457212,0.0
3,6,-1,6.6585368903775395,109.43453389274092,0.14171709715313116,0.0
3,6,0,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
3,6,1,6.6585368903775395,109.43453389274092,0.14171709715313116,0.0
3,6,2,6.872233929727672,114.81228588619445,0.13304054018457212,0.0
3,6,3,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
3,6,4,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
3,7,-3,8.035951292236042,160.24552263982693,0.09729830550811992,0.003189654321242221
3,7,-2,7.730289153532402,142.7770514198789,0.10514494304909734,0.0
3,7,-1,7.540947203955154,135.18372448287252,0.11049129608549212,0.001695144624260125
3,7,0,7.4767677627464915,132.87476500885973,0.11239631843179372,0.0
3,7,1,7.540947203955154,135.18372448287252,0.11049129608549212,0.00169514462426012
3,7,2,7.730289153532402,142.7770514198789,0.10514494304909734,0.0
3,7,3,8.035951292236042,160.24552263982693,0.09729830550811992,0.003189654321242216
4,-7,-2,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
4,-7,-1,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
4,-7,0,7.915103035438158,152.03141164134075,0.10029209952375438,0.0
4,-7,1,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
4,-7,2,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
4,-6,-4,8.095698964634494,165.95891167286584,0.09586744807417698,0.0556883293962261
4,-6,-3,7.667694688915752,140.1134146185857,0.10686863064006613,0.0
4,-6,-2,7.346727099086873,128.49551707216034,0.1164104726615006,0.0018068665579559853
4,-6,-1,7.147231170465649,122.38028624968604,0.12299974469894404,0.0
4,-6,0,7.07948337446186,120.4352208898477,0.12536512440469297,0.019376968230934842
4,-6,1,7.147231170465649,122.38028624968604,0.12299974469894404,0.0
4,-6,2,7.346727099086873,128.49551707216034,0.1164104726615006,0.0018068665579559853
4,-6,3,7.667694688915752,140.1134146185857,0.10686863064006613,0.0
4,-6,4,8.095698964634494,165.95891167286584,0.09586744807417698,0.0556883293962261
4,-5,-5,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
4,-5,-4,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
4,-5,-3,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
4,-5,-2,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
4,-5,-1,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
4,-5,0,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
4,-5,1,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
4,-5,2,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
4,-5,3,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
4,-5,4,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
4,-5,5,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
4,-4,-6,8.095698964634494,165.95891167286584,0.09586744807417698,0.0556883293962261
4,-4,-5,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
4,-4,-4,6.801747615878316,112.99646559692042,0.13581221810508404,0.0017254552613175777
4,-4,-3,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
4,-4,-2,5.890486225480862,92.46480862733866,0.1810829574734454,0.02173708586579409
4,-4,-1,5.63971119014069,87.48325354470103,0.1975450445164859,0.0
4,-4,0,5.553603672697957,85.82036157982836,0.20371832715762608,0.002109046784340859
4,-4,1,5.63971119014069,87.48325354470103,0.1975450445164859,0.0
4,-4,2,5.890486225480862,92.46480862733866,0.1810829574734454,0.02173708586579409
4,-4,3,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
4,-4,4,6.801747615878316,112.99646559692042,0.13581221810508404,0.0017254552613175777
4,-4,5,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
4,-4,6,8.095698964634494,165.95891167286584,0.09586744807417698,0.0556883293962261
4,-3,-6,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
4,-3,-5,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
4,-3,-4,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
4,-3,-3,5.724523636337962,89.1440261704032,0.19173489614835396,0.0
4,-3,-2,5.286873186395016,80.80465908569168,0.22479263686358741,0.0
4,-3,-1,5.005950701379404,75.716611308165,0.25073024880938594,0.0
4,-3,0,4.908738521234051,73.99683557519315,0.2607594587617614,0.0
4,-3,1,5.005950701379404,75.716611308165,0.25073024880938594,0.0
4,-3,2,5.286873186395016,80.80465908569168,0.22479263686358741,0.0
4,-3,3,5.724523636337962,89.1440261704032,0.19173489614835396,0.0
4,-3,4,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
4,-3,5,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
4,-3,6,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
4,-2,-7,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
4,-2,-6,7.3467270990868725,128.4955170721603,0.11641047266150062,0.0018068665579559853
4,-2,-5,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
4,-2,-4,5.890486225480862,92.46480862733866,0.1810829574734454,0.02173708586579409
4,-2,-3,5.286873186395017,80.8046590856917,0.2247926368635874,0.0
4,-2,-2,4.80956186310699,72.26212003011906,0.2716244362101681,0.0026516651148498784
4,-2,-1,4.498933168060127,66.94715420761237,0.31042792709733497,0.0
4,-2,0,4.390509206900454,65.1305350321281,0.3259493234522017,0.03473864592829703
4,-2,1,4.498933168060127,66.94715420761237,0.31042792709733497,0.0
4,-2,2,4.80956186310699,72.26212003011906,0.2716244362101681,0.0026516651148498784
4,-2,3,5.286873186395017,80.8046590856917,0.2247926368635874,0.0
4,-2,4,5.890486225480862,92.46480862733866,0.1810829574734454,0.02173708586579409
4,-2,5,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
4,-2,6,7.3467270990868725,128.4955170721603,0.11641047266150062,0.0018068665579559853
4,-2,7,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
4,-1,-7,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
4,-1,-6,7.147231170465648,122.38028624968602,0.12299974469894405,0.0
4,-1,-5,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
4,-1,-4,5.63971119014069,87.48325354470103,0.1975450445164859,0.0
4,-1,-3,5.005950701379404,75.716611308165,0.25073024880938594,0.0
4,-1,-2,4.498933168060127,66.94715420761237,0.31042792709733497,0.0
4,-1,-1,4.1652027545234676,61.412707470790934,0.3621659149468908,0.0
4,-1,0,4.047849482317247,59.50457887786286,0.3834697922967079,0.0
4,-1,1,4.1652027545234676,61.412707470790934,0.3621659149468908,0.0
4,-1,2,4.498933168060127,66.94715420761237,0.31042792709733497,0.0
4,-1,3,5.005950701379404,75.716611308165,0.25073024880938594,0.0
4,-1,4,5.63971119014069,87.48325354470103,0.1975450445164859,0.0
4,-1,5,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
4,-1,6,7.147231170465648,122.38028624968602,0.12299974469894405,0.0
4,-1,7,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
4,0,-7,7.915103035438158,152.03141164134075,0.10029209952375438,0.0
4,0,-6,7.07948337446186,120.4352208898477,0.12536512440469297,0.019376968230934842
4,0,-5,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
4,0,-4,5.553603672697957,85.82036157982836,0.20371832715762608,0.002109046784340859
4,0,-3,4.908738521234051,73.99683557519315,0.2607594587617614,0.0
4,0,-2,4.390509206900454,65.1305350321281,0.3259493234522017,0.03473864592829703
4,0,-1,4.047849482317247,59.50457887786286,0.3834697922967079,0.0
4,0,0,3.926990816987241,57.55825055359985,0.40743665431525217,0.0038109067060178884
4,0,1,4.047849482317247,59.50457887786286,0.3834697922967079,0.0
4,0,2,4.390509206900454,65.1305350321281,0.3259493234522017,0.03473864592829703
4,0,3,4.908738521234051,73.99683557519315,0.2607594587617614,0.0
4,0,4,5.553603672697957,85.82036157982836,0.20371832715762608,0.002109046784340859
4,0,5,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
4,0,6,7.07948337446186,120.4352208898477,0.12536512440469297,0.019376968230934842
4,0,7,7.915103035438158,152.03141164134075,0.10029209952375438,0.0
4,1,-7,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
4,1,-6,7.147231170465648,122.38028624968602,0.12299974469894405,0.0
4,1,-5,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
4,1,-4,5.63971119014069,87.48325354470103,0.1975450445164859,0.0
4,1,-3,5.005950701379404,75.716611308165,0.25073024880938594,0.0
4,1,-2,4.498933168060127,66.94715420761237,0.31042792709733497,0.0
4,1,-1,4.1652027545234676,61.412707470790934,0.3621659149468908,0.0
4,1,0,4.047849482317247,59.50457887786286,0.3834697922967079,0.0
4,1,1,4.1652027545234676,61.412707470790934,0.3621659149468908,0.0
4,1,2,4.498933168060127,66.94715420761237,0.31042792709733497,0.0
4,1,3,5.005950701379404,75.716611308165,0.25073024880938594,0.0
4,1,4,5.63971119014069,87.48325354470103,0.1975450445164859,0.0
4,1,5,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
4,1,6,7.147231170465648,122.38028624968602,0.12299974469894405,0.0
4,1,7,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
4,2,-7,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
4,2,-6,7.3467270990868725,128.4955170721603,0.11641047266150062,0.0018068665579559853
4,2,-5,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
4,2,-4,5.890486225480862,92.46480862733866,0.1810829574734454,0.02173708586579409
4,2,-3,5.286873186395017,80.8046590856917,0.2247926368635874,0.0
4,2,-2,4.80956186310699,72.26212003011906,0.2716244362101681,0.0026516651148498784
4,2,-1,4.498933168060127,66.94715420761237,0.31042792709733497,0.0
4,2,0,4.390509206900454,65.1305350321281,0.3259493234522017,0.03473864592829703
4,2,1,4.498933168060127,66.94715420761237,0.31042792709733497,0.0
4,2,2,4.80956186310699,72.26212003011906,0.2716244362101681,0.0026516651148498784
4,2,3,5.286873186395017,80.8046590856917,0.2247926368635874,0.0
4,2,4,5.890486225480862,92.46480862733866,0.1810829574734454,0.02173708586579409
4,2,5,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
4,2,6,7.3467270990868725,128.4955170721603,0.11641047266150062,0.0018068665579559853
4,2,7,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
4,3,-6,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
4,3,-5,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
4,3,-4,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
4,3,-3,5.724523636337962,89.1440261704032,0.19173489614835396,0.0
4,3,-2,5.286873186395016,80.80465908569168,0.22479263686358741,0.0
4,3,-1,5.005950701379404,75.716611308165,0.25073024880938594,0.0
4,3,0,4.908738521234051,73.99683557519315,0.2607594587617614,0.0
4,3,1,5.005950701379404,75.716611308165,0.25073024880938594,0.0
4,3,2,5.286873186395016,80.80465908569168,0.22479263686358741,0.0
4,3,3,5.724523636337962,89.1440261704032,0.19173489614835396,0.0
4,3,4,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
4,3,5,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
4,3,6,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
4,4,-6,8.095698964634494,165.95891167286584,0.09586744807417698,0.0556883293962261
4,4,-5,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
4,4,-4,6.801747615878316,112.99646559692042,0.13581221810508404,0.0017254552613175777
4,4,-3,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
4,4,-2,5.890486225480862,92.46480862733866,0.1810829574734454,0.02173708586579409
4,4,-1,5.63971119014069,87.48325354470103,0.1975450445164859,0.0
4,4,0,5.553603672697957,85.82036157982836,0.20371832715762608,0.002109046784340859
4,4,1,5.63971119014069,87.48325354470103,0.1975450445164859,0.0
4,4,2,5.890486225480862,92.46480862733866,0.1810829574734454,0.02173708586579409
4,4,3,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
4,4,4,6.801747615878316,112.99646559692042,0.13581221810508404,0.0017254552613175777
4,4,5,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
4,4,6,8.095698964634494,165.95891167286584,0.09586744807417698,0.0556883293962261
4,5,-5,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
4,5,-4,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
4,5,-3,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
4,5,-2,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
4,5,-1,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
4,5,0,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
4,5,1,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
4,5,2,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
4,5,3,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
4,5,4,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
4,5,5,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
4,6,-4,8.095698964634494,165.95891167286584,0.09586744807417698,0.0556883293962261
4,6,-3,7.667694688915752,140.1134146185857,0.10686863064006613,0.0
4,6,-2,7.346727099086873,128.49551707216034,0.1164104726615006,0.0018068665579559853
4,6,-1,7.147231170465649,122.38028624968604,0.12299974469894404,0.0
4,6,0,7.07948337446186,120.4352208898477,0.12536512440469297,0.019376968230934842
4,6,1,7.147231170465649,122.38028624968604,0.12299974469894404,0.0
4,6,2,7.346727099086873,128.49551707216034,0.1164104726615006,0.0018068665579559853
4,6,3,7.667694688915752,140.1134146185857,0.10686863064006613,0.0
4,6,4,8.095698964634494,165.95891167286584,0.09586744807417698,0.0556883293962261
4,7,-2,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
4,7,-1,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
4,7,0,7.915103035438158,152.03141164134075,0.10029209952375438,0.0
4,7,1,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
4,7,2,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
5,-6,-2,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
5,-6,-1,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
5,-6,0,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
5,-6,1,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
5,-6,2,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
5,-5,-4,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
5,-5,-3,7.540947203955154,135.18372448287252,0.1104912960854921,0.001695017636626052
5,-5,-2,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
5,-5,-1,7.011080964764849,118.52821630143552,0.12782326409890263,0.0015212378410229116
5,-5,0,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
5,-5,1,7.011080964764849,118.52821630143552,0.12782326409890263,0.0015212378410229116
5,-5,2,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
5,-5,3,7.540947203955154,135.18372448287252,0.1104912960854921,0.0016950176366260525
5,-5,4,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
5,-4,-5,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
5,-4,-4,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
5,-4,-3,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
5,-4,-2,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
5,-4,-1,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
5,-4,0,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
5,-4,1,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
5,-4,2,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
5,-4,3,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
5,-4,4,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
5,-4,5,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
5,-3,-5,7.540947203955154,135.18372448287252,0.1104912960854921,0.001695017636626052
5,-3,-4,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
5,-3,-3,6.437750216973081,104.22985110733639,0.15160433648939614,0.0015622436082177863
5,-3,-2,6.051899295441682,95.79390842244703,0.17155227550115879,0.0
5,-3,-1,5.8080977451990154,90.80407962567679,0.18625675625840096,0.0017467206228439294
5,-3,0,5.724523636337962,89.1440261704032,0.19173489614835396,0.0
5,-3,1,5.8080977451990154,90.80407962567679,0.18625675625840096,0.0017467206228439296
5,-3,2,6.051899295441682,95.79390842244703,0.17155227550115879,0.0
5,-3,3,6.437750216973081,104.22985110733639,0.15160433648939614,0.001562243608217787
5,-3,4,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
5,-3,5,7.540947203955154,135.18372448287252,0.1104912960854921,0.001695017636626052
5,-2,-6,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
5,-2,-5,7.214342794660484,124.36817718754419,0.12072197164896362,0.0
5,-2,-4,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
5,-2,-3,6.051899295441682,95.79390842244703,0.1715522755011588,0.0
5,-2,-2,5.63971119014069,87.48325354470103,0.1975450445164859,0.0
5,-2,-1,5.377253633948883,82.48252722583999,0.2172995489681345,0.0
5,-2,0,5.286873186395016,80.80465908569168,0.22479263686358741,0.0
5,-2,1,5.377253633948883,82.48252722583999,0.2172995489681345,0.0
5,-2,2,5.63971119014069,87.48325354470103,0.1975450445164859,0.0
5,-2,3,6.051899295441682,95.79390842244703,0.1715522755011588,0.0
5,-2,4,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
5,-2,5,7.214342794660484,124.36817718754419,0.12072197164896362,0.0
5,-2,6,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
5,-1,-6,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
5,-1,-5,7.011080964764848,118.52821630143549,0.12782326409890266,0.001521237841022911
5,-1,-4,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
5,-1,-3,5.808097745199015,90.80407962567678,0.186256756258401,0.0017467206228439299
5,-1,-2,5.377253633948883,82.48252722583999,0.2172995489681345,0.0
5,-1,-1,5.101310711908737,77.42333957947271,0.24144394329792723,0.0021174026296012388
5,-1,0,5.005950701379404,75.716611308165,0.25073024880938594,0.0
5,-1,1,5.101310711908737,77.42333957947271,0.24144394329792723,0.0021174026296012396
5,-1,2,5.377253633948883,82.48252722583999,0.2172995489681345,0.0
5,-1,3,5.808097745199015,90.80407962567678,0.186256756258401,0.0017467206228439299
5,-1,4,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
5,-1,5,7.011080964764848,118.52821630143549,0.12782326409890266,0.0015212378410229116
5,-1,6,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
5,0,-6,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
5,0,-5,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
5,0,-4,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
5,0,-3,5.724523636337962,89.1440261704032,0.19173489614835396,0.0
5,0,-2,5.286873186395016,80.80465908569168,0.22479263686358741,0.0
5,0,-1,5.005950701379404,75.716611308165,0.25073024880938594,0.0
5,0,0,4.908738521234051,73.99683557519315,0.2607594587617614,0.0
5,0,1,5.005950701379404,75.716611308165,0.25073024880938594,0.0
5,0,2,5.286873186395016,80.80465908569168,0.22479263686358741,0.0
5,0,3,5.724523636337962,89.1440261704032,0.19173489614835396,0.0
5,0,4,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
5,0,5,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
5,0,6,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
5,1,-6,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
5,1,-5,7.011080964764848,118.52821630143549,0.12782326409890266,0.0015212378410229108
5,1,-4,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
5,1,-3,5.808097745199015,90.80407962567678,0.186256756258401,0.0017467206228439299
5,1,-2,5.377253633948883,82.48252722583999,0.2172995489681345,0.0
5,1,-1,5.101310711908737,77.42333957947271,0.24144394329792723,0.0021174026296012396
5,1,0,5.005950701379404,75.716611308165,0.25073024880938594,0.0
5,1,1,5.101310711908737,77.42333957947271,0.24144394329792723,0.0021174026296012388
5,1,2,5.377253633948883,82.48252722583999,0.2172995489681345,0.0
5,1,3,5.808097745199015,90.80407962567678,0.186256756258401,0.00174672062284393
5,1,4,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
5,1,5,7.011080964764848,118.52821630143549,0.12782326409890266,0.001521237841022907
5,1,6,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
5,2,-6,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
5,2,-5,7.214342794660484,124.36817718754419,0.12072197164896362,0.0
5,2,-4,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
5,2,-3,6.051899295441682,95.79390842244703,0.1715522755011588,0.0
5,2,-2,5.63971119014069,87.48325354470103,0.1975450445164859,0.0
5,2,-1,5.377253633948883,82.48252722583999,0.2172995489681345,0.0
5,2,0,5.286873186395016,80.80465908569168,0.22479263686358741,0.0
5,2,1,5.377253633948883,82.48252722583999,0.2172995489681345,0.0
5,2,2,5.63971119014069,87.48325354470103,0.1975450445164859,0.0
5,2,3,6.051899295441682,95.79390842244703,0.1715522755011588,0.0
5,2,4,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
5,2,5,7.214342794660484,124.36817718754419,0.12072197164896362,0.0
5,2,6,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
5,3,-5,7.540947203955154,135.18372448287252,0.1104912960854921,0.001695017636626052
5,3,-4,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
5,3,-3,6.437750216973081,104.22985110733639,0.15160433648939614,0.0015622436082177863
5,3,-2,6.051899295441682,95.79390842244703,0.17155227550115879,0.0
5,3,-1,5.8080977451990154,90.80407962567679,0.18625675625840096,0.0017467206228439294
5,3,0,5.724523636337962,89.1440261704032,0.19173489614835396,0.0
5,3,1,5.8080977451990154,90.80407962567679,0.18625675625840096,0.0017467206228439296
5,3,2,6.051899295441682,95.79390842244703,0.17155227550115879,0.0
5,3,3,6.437750216973081,104.22985110733639,0.15160433648939614,0.0015622436082177822
5,3,4,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
5,3,5,7.540947203955154,135.18372448287252,0.1104912960854921,0.0016950176366260488
5,4,-5,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
5,4,-4,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
5,4,-3,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
5,4,-2,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
5,4,-1,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
5,4,0,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
5,4,1,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
5,4,2,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
5,4,3,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
5,4,4,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
5,4,5,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
5,5,-4,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
5,5,-3,7.540947203955154,135.18372448287252,0.1104912960854921,0.001695017636626052
5,5,-2,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
5,5,-1,7.011080964764849,118.52821630143552,0.12782326409890263,0.0015212378410229123
5,5,0,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
5,5,1,7.011080964764849,118.52821630143552,0.12782326409890263,0.0015212378410229077
5,5,2,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
5,5,3,7.540947203955154,135.18372448287252,0.1104912960854921,0.0016950176366260488
5,5,4,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
5,6,-2,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
5,6,-1,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
5,6,0,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
5,6,1,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
5,6,2,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
6,-5,-2,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
6,-5,-1,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
6,-5,0,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
6,-5,1,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
6,-5,2,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
6,-4,-4,8.095698964634494,165.95891167286584,0.09586744807417698,0.05568818316445976
6,-4,-3,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
6,-4,-2,7.3467270990868725,128.4955170721603,0.11641047266150062,0.0018068329423591907
6,-4,-1,7.147231170465648,122.38028624968602,0.12299974469894405,0.0
6,-4,0,7.0794833744618595,120.43522088984767,0.12536512440469297,0.019376239477868026
6,-4,1,7.147231170465648,122.38028624968602,0.12299974469894405,0.0
6,-4,2,7.3467270990868725,128.4955170721603,0.11641047266150062,0.0018068329423591907
6,-4,3,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
6,-4,4,8.095698964634494,165.95891167286584,0.09586744807417698,0.05568818316445976
6,-3,-4,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
6,-3,-3,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
6,-3,-2,6.872233929727672,114.81228588619445,0.13304054018457212,0.0
6,-3,-1,6.6585368903775395,109.43453389274092,0.14171709715313116,0.0
6,-3,0,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
6,-3,1,6.6585368903775395,109.43453389274092,0.14171709715313116,0.0
6,-3,2,6.872233929727672,114.81228588619445,0.13304054018457212,0.0
6,-3,3,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
6,-3,4,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
6,-2,-5,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
6,-2,-4,7.3467270990868725,128.4955170721603,0.11641047266150062,0.0018068329423591907
6,-2,-3,6.872233929727672,114.81228588619445,0.13304054018457212,0.0
6,-2,-2,6.512177547558944,105.94919100847936,0.1481587833873644,0.019641471820752935
6,-2,-1,6.286252520106808,100.82836990078259,0.15899966997668374,0.0
6,-2,0,6.209117666122562,99.14278056340999,0.16297466172610084,0.0018324503202442604
6,-2,1,6.286252520106808,100.82836990078259,0.15899966997668374,0.0
6,-2,2,6.512177547558944,105.94919100847936,0.1481587833873644,0.019641471820752935
6,-2,3,6.872233929727672,114.81228588619445,0.13304054018457212,0.0
6,-2,4,7.3467270990868725,128.4955170721603,0.11641047266150062,0.0018068329423591907
6,-2,5,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
6,-1,-5,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
6,-1,-4,7.147231170465648,122.38028624968602,0.12299974469894405,0.0
6,-1,-3,6.6585368903775395,109.43453389274092,0.14171709715313116,0.0
6,-1,-2,6.286252520106808,100.82836990078259,0.15899966997668374,0.0
6,-1,-1,6.051899295441682,95.79390842244703,0.17155227550115879,0.0
6,-1,0,5.971738149598796,94.12761301306331,0.1761888234876766,0.0
6,-1,1,6.051899295441682,95.79390842244703,0.17155227550115879,0.0
